ANIO;MES;CONGLOMERADO;MUESTRA;SELVIV;HOGAR;C201;REGION;ESTRATO;LLAVE_PANEL;C203;C204;C205;C206;C207;C208;C300n;NROINF;C301_DIA;C301_MES;C301_ANIO;C303;C304;C305;C306_1;C306_2;C306_3;C306_4;C306_5;C306_6;C306_7;C306_8;C306_9;C306_10;C306_10A;C306_11;C308_COD;C309_COD;C310;C311;C317;C317A;C318_1;C318_2;C318_3;C318_4;C318_5;C318_6;C318_7;whoraT;C330;C331;P209H;C335;C338;C339_1;C341_T;C342;C344;C345_1;C348;C347_T;C350;C352;C353;C354;C355;C356;C357_I;C358;C359;SEGURO1;C366;C366_1;C366_2;C375_1;C375_2;C375_3;C375_4;C375_5;C375_6;C376;C377;OCUP300;I339_1;D341_T;I342;D344;I345_1;I348;D347_T;D350;INGTOT;INGTOTP;RESIDENT;fa_fma23
2023;2;2951501;1;40;1;1;1;1;2.02202E+19;1;1;2; ;1;53;1;4;26;6;1969;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3333;4312;1; ;1;6;0;7;7;7;7;7;7;42;1; ;2;2; ; ; ;10000; ; ; ; ; ; ; ; ; ; ; ; ;1;2;6;5; ;2;2;2;2;2;2;1;1;1; ; ;10000; ; ; ; ; ;10000;10000;1;577.6211886
2023;2;29469;1;59;1;1;1;1;2.02202E+17;1;1;2; ;1;53;1;1;1;10;1969;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3334;6820;2; ;1;1;4;5;10;10;12;12;5;58;1; ;1;2; ; ; ;10000; ; ; ; ; ; ; ; ; ; ; ; ;1;1;10;1; ;2;2;2;2;2;2;10;7;1; ; ;10000; ; ; ; ; ;10000;10000;1;692.1773464
2023;2;2708102;1;63;1;1;1;1;2.02302E+19;1;1;2; ;1;42;1;1;29;5;1980;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2212;8620;1; ;1;4;0;8;8;8;8;8;0;40;1; ;2;2; ; ; ;10000; ; ; ; ; ; ; ; ; ; ; ; ;2;3;11;7; ;2;2;2;2;2;2;10;7;1; ; ;10000; ; ; ; ; ;10000;10000;1;756.8356573
2023;2;2526402;1;7;1;1;1;1;2.02302E+19;1;1;2; ;1;39;1;1;18;5;1983;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3314;6202;1; ;1;8;0;8;8;8;8;8;5;45;1; ;2;2; ; ; ;10000; ; ; ; ; ; ; ; ; ; ; ; ;1;1;11;5; ;2;2;2;2;2;2;10;8;1; ; ;10000; ; ; ; ; ;10000;10000;1;1513.671315
2023;2;2671402;1;14;1;1;1;1;2.02302E+19;1;1;2; ;1;57;1;1;15;9;1965;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3339;9311;2; ;1;1;0;10;10;10;10;10;10;60;1; ;2;2; ; ; ;10000; ; ; ; ; ; ; ; ; ; ; ; ;1;1;12;2; ;2;2;2;2;2;2;10;7;1; ; ;9900; ; ; ; ; ;9900;9900;1;1155.242377
2023;2;2711102;1;52;1;3;1;1;2.02302E+19;4;1;2; ;1;51;3;3;13;11;1971;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2611;6910;2; ;1;1;0;9;9;9;9;9;2;59;1; ;2;2; ; ; ;8000; ;2000; ; ; ; ; ; ; ; ; ; ;1;3;12;2; ;2;2;2;2;2;2;10;7;1; ; ;8150; ;2000; ; ; ;10150;8150;1;626.1451008
2023;2;25943;1;51;1;1;1;1;2.02211E+17;1;1;2; ;2;54;1;1;14;12;1968;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;5211;4630;1; ;1;4;0;10;10;10;10;10;10;60;1; ;1;2; ; ; ;8000;100; ; ; ; ; ; ; ; ; ; ; ;1;5;5;3; ;2;2;2;2;2;2;1;7;1; ; ;8000;100; ; ; ; ;8100;8100;1;517.2120782
2023;2;27083;1;74;1;1;1;1;2.02302E+17;1;1;2; ;1;56;1;1;5;9;1966;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2132;7490;1; ;1;3;0;6;6;6;6;6;0;30;1; ;2;2; ; ; ;7000; ; ; ; ; ; ; ; ; ; ; ; ;1;1;11;5; ;2;2;2;2;2;2;10;7;1; ; ;7000; ; ; ; ; ;7000;7000;1;1384.354692
2023;2;27083;1;73;1;1;1;1;2.02302E+17;1;1;2; ;1;67;1;1;14;1;1956;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2144;7110;1; ;1;2;0;4;4;4;4;4;4;24;1; ;2;2; ; ; ;6000; ; ; ; ; ; ; ; ; ; ; ; ;1;1;11;5; ;2;2;2;2;2;2;10;7;1; ; ;6700; ; ; ; ; ;6700;6700;1;1384.354692
2023;2;2711102;1;52;1;2;1;1;2.02302E+19;3;1;2; ;2;49;2;2;2;5;1973;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;9533;4649;2; ;1;1;4;3;3;3;3;4;4;24;1; ;1;2; ; ; ;5000;35; ; ; ; ; ; ; ; ; ; ; ;1;3;9;3; ;2;2;2;2;2;2;10;7;1; ; ;5950;35; ; ; ; ;5985;5985;1;560.8809298
2023;2;21190;1;18;1;2;1;1;2.02202E+17;2;1;2; ;2;68;2;4;11;9;1954;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3314;5610;1; ;1;5;2;8;8;8;8;8;8;50;1; ;2;2; ; ; ;5000;200; ; ; ; ; ; ; ; ; ; ; ;1;5;4;5; ;2;2;2;2;2;2;10;7;1; ; ;5484;130; ; ; ; ;5614;5614;1;517.4147477
2023;2;26614;1;13;1;1;1;1;2.02302E+17;1;1;2; ;2;74;1;2;19;2;1949;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3314;4771;1; ;1;3;10;10;10;10;10;10;10;70;1; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;5;4;5; ;2;2;2;2;2;2;10;9;1; ; ;5484; ; ; ; ; ;5484;5484;1;1121.76186
2023;2;2683601;1;66;1;1;1;1;2.02202E+19;1;1;2; ;1;42;1;1;13;11;1980;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3334;6810;2; ;1;2;4;6;6;6;6;6;4;58;1; ;2;2; ; ; ;5300; ; ;3000; ; ; ; ; ; ; ; ; ;1;1;11;5; ;2;2;2;2;2;2;10;7;1; ; ;5300; ; ;3000; ; ;8300;5300;1;836.6503169
